,V1,2.50%,97.50%
30% off,0.152967699,-0.040791142,0.381467762
40% off,-0.036299617,-0.194654315,0.138485943
50% off,-0.106996091,-0.38660671,0.220801359
Product,-0.08633983,-0.325195065,0.151220569
Clearance,-0.112537321,-0.381290601,0.135626693
Mystery,0.050720684,-0.207173988,0.297398605
Free Gift,0.044255676,-0.192705135,0.272438878
Free Shipping,-0.040985738,-0.31594455,0.174654128
,,,
,,,
,,,
,,,
Component,Mean Estimate,Lower CI,Upper CI
30% off,0.153,-0.041,0.381
40% off,-0.036,-0.195,0.138
50% off,-0.107,-0.387,0.221
Product,-0.086,-0.325,0.151
Clearance,-0.113,-0.381,0.136
Mystery,0.051,-0.207,0.297
Free Gift,0.044,-0.193,0.272
Free Shipping,-0.041,-0.316,0.175